vial,male_geno,freeze_time,mated,frozen,start,end,count,notes
1,56g,3,Y,Y,5:34,5:57,0,
2,56g,4,Y,Y,2:12,2:41,5,
3,CyO,4,Y,Y,2:00,2:31,149,
4,56g,4,Y,Y,1:41,2:12,0,
5,CyO,3,Y,Y,5:07,5:33,507,
6,CyO,4,Y,Y,1:41,2:00,145,
7,56g,4,Y,Y,6:58,7:24,4,
8,CyO,4,Y,Y,1:26,2:00,1,
9,CyO,4,Y,Y,6:58,7:18,22,
10,CyO,4,Y,Y,12:48,1:08,193,
11,CyO,4,Y,Y,2:12,2:40,38,
12,56g,4,Y,Y,2:58,3:32,6,
13,56g,3,Y,Y,2:12,2:40,383,
14,CyO,3,Y,Y,2:12,2:42,456,
15,56g,4,Y,Y,3:56,4:21,1,
16,CyO,3,Y,Y,1:41,2:00,411,
17,56g,4,Y,Y,2:23,2:50,0,
18,56g,3,Y,Y,4:05,4:34,462,
19,56g,3,Y,Y,3:17,3:41,382,
20,CyO,4,Y,Y,2:23,2:51,93,
21,56g,3,Y,Y,4:21,4:43,313,
22,CyO,3,Y,Y,2:03,2:31,436,
23,CyO,4,Y,Y,2:03,2:31,173,
24,CyO,4,Y,Y,2:51,3:24,130,
25,CyO,3,Y,Y,2:12,2:40,337,
26,CyO,3,Y,Y,12:57,1:26,347,
27,CyO,4,Y,Y,1:26,1:48,234,
28,56g,4,Y,Y,2:31,3:09,3,
29,56g,3,Y,Y,5:00,5:24,328,
30,56g,3,Y,Y,2:23,2:58,374,
31,CyO,4,Y,Y,2:12,2:29,110,
32,CyO,3,Y,Y,5:25,5:45,339,
33,56g,4,Y,Y,2:00,2:31,7,
34,CyO,4,Y,Y,1:14,1:27,174,
35,56g,4,Y,Y,6:17,6:50,50,
36,56g,4,Y,Y,6:20,6:50,13,
37,CyO,3,Y,Y,1:25,1:48,362,
38,CyO,3,Y,Y,1:33,1:59,460,
39,56g,3,Y,Y,4:21,4:43,373,
40,56g,4,Y,Y,1:25,1:59,8,
41,CyO,4,Y,Y,1:48,2:12,46,
42,56g,4,Y,Y,1:10,1:33,15,
43,56g,3,Y,Y,12:57,1:19,0,
44,CyO,4,Y,Y,1:41,2:00,19,
45,CyO,3,Y,Y,2:18,3:23,415,
46,56g,3,Y,Y,5:24,5:45,354,
47,56g,4,Y,Y,1:57,2:30,74,
48,CyO,3,Y,Y,1:18,1:48,339,
49,56g,3,Y,Y,2:12,2:30,129,
50,CyO,4,Y,Y,3:17,3:41,166,
51,56g,3,Y,Y,1:48,1:59,0,
52,CyO,3,Y,Y,3:15,3:41,437,
53,56g,3,Y,Y,1:14,1:41,12,
54,56g,3,Y,Y,1:10,1:33,360,
55,CyO,3,Y,Y,1:25,1:47,273,
56,56g,4,Y,Y,2:58,3:23,17,
57,56g,4,Y,Y,1:14,1:47,10,
58,CyO,4,Y,Y,1:34,2:12,100,
59,56g,3,Y,Y,1:14,1:41,296,
60,56g,3,Y,Y,3:41,4:04,375,
61,56g,4,Y,Y,3:44,4:04,5,
62,56g,4,Y,Y,3:41,4:13,5,
