rep,vial,male_geno,intro,time_start,time_stop,d_1,d_2,d_3,d_4,e_tot,mated,p_1,p_2,p_3,p_4,p_tot,hatch_t,h_1,h_2,h_3,h_4,lat,dur
1,1,Df/WT,NA,13:21:00,13:44:00,7,19,54,60,140,N,5,19,49,50,123,0.878571429,0.714285714,1,0.907407407,0.833333333,NA,0:23:00
1,2,WT/CyO,NA,13:04:00,13:25:00,27,36,60,69,192,N,27,33,60,66,186,0.96875,1,0.916666667,1,0.956521739,NA,0:21:00
1,3,Obp56g/CyO,NA,12:15:00,12:40:00,27,40,3,43,113,N,22,37,2,42,103,0.911504425,0.814814815,0.925,0.666666667,0.976744186,NA,0:25:00
1,4,Obp56g/CyO,NA,16:01:00,16:33:00,15,36,57,48,156,N,11,34,49,34,128,0.820512821,0.733333333,0.944444444,0.859649123,0.708333333,NA,0:32:00
1,5,WT/CyO,NA,14:04:00,14:24:00,24,32,67,55,178,N,24,31,59,48,162,0.91011236,1,0.96875,0.880597015,0.872727273,NA,0:20:00
1,6,Obp56g/Df,NA,18:35:00,18:55:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0:20:00
1,7,Obp56g/Df,NA,14:24:00,14:51:00,19,3,0,0,22,N,16,2,0,0,18,0.818181818,0.842105263,0.666666667,NA,NA,NA,0:27:00
1,8,WT/CyO,NA,13:56:00,14:24:00,10,0,0,0,10,N,7,0,0,0,7,0.7,0.7,NA,NA,NA,NA,0:28:00
1,9,Obp56g/Df,NA,14:51:00,15:17:00,11,0,0,0,11,Y,0,0,0,0,0,0,0,NA,NA,NA,NA,0:26:00
1,10,Df/WT,NA,13:56:00,14:24:00,18,50,62,59,189,N,15,39,51,50,155,0.82010582,0.833333333,0.78,0.822580645,0.847457627,NA,0:28:00
1,11,Obp56g/CyO,NA,12:47:00,13:07:00,26,28,43,0,97,N,21,28,37,0,86,0.886597938,0.807692308,1,0.860465116,NA,NA,0:20:00
1,12,Obp56g/Df,NA,13:56:00,14:24:00,7,0,0,0,7,N,1,0,0,0,1,0.142857143,0.142857143,NA,NA,NA,NA,0:28:00
1,13,Obp56g/Df,NA,13:01:00,13:26:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0:25:00
1,14,Obp56g/Df,NA,13:01:00,13:30:00,0,0,0,0,0,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0:29:00
1,15,WT/CyO,NA,17:50:00,18:12:00,26,19,39,35,119,N,23,18,32,30,103,0.865546218,0.884615385,0.947368421,0.820512821,0.857142857,NA,0:22:00
1,16,Obp56g/CyO,NA,15:28:00,15:54:00,29,41,62,51,183,N,28,33,54,41,156,0.852459016,0.965517241,0.804878049,0.870967742,0.803921569,NA,0:26:00
1,17,Df/WT,NA,14:09:00,14:24:00,11,19,26,34,90,N,11,19,25,28,83,0.922222222,1,1,0.961538462,0.823529412,NA,0:15:00
1,18,Obp56g/CyO,NA,13:01:00,13:27:00,31,49,66,62,208,N,28,46,64,52,190,0.913461538,0.903225806,0.93877551,0.96969697,0.838709677,NA,0:26:00
1,19,Df/WT,NA,13:10:00,13:30:00,18,27,46,47,138,N,17,26,43,42,128,0.927536232,0.944444444,0.962962963,0.934782609,0.893617021,NA,0:20:00
1,20,WT/CyO,NA,18:35:00,18:55:00,37,50,60,51,198,N,37,43,52,48,180,0.909090909,1,0.86,0.866666667,0.941176471,NA,0:20:00
1,21,Obp56g/Df,NA,15:17:00,15:54:00,12,1,0,0,13,N,11,1,0,0,12,0.923076923,0.916666667,1,NA,NA,NA,0:37:00
1,22,WT/CyO,NA,12:40:00,13:12:00,37,17,53,41,148,N,34,12,49,38,133,0.898648649,0.918918919,0.705882353,0.924528302,0.926829268,NA,0:32:00
1,23,Obp56g/Df,NA,15:05:00,15:27:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0:22:00
1,24,Obp56g/Df,NA,13:10:00,13:41:00,0,0,0,0,0,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0:31:00
1,25,WT/CyO,NA,16:51:00,17:18:00,31,39,51,46,167,N,29,33,44,40,146,0.874251497,0.935483871,0.846153846,0.862745098,0.869565217,NA,0:27:00
1,27,Obp56g/CyO,NA,13:36:00,14:24:00,27,34,50,44,155,N,27,34,49,34,144,0.929032258,1,1,0.98,0.772727273,NA,0:48:00
1,28,Obp56g/CyO,NA,14:09:00,14:37:00,24,33,43,49,149,N,19,31,39,44,133,0.89261745,0.791666667,0.939393939,0.906976744,0.897959184,NA,0:28:00
1,29,WT/CyO,NA,12:31:00,12:52:00,8,13,19,21,61,N,7,5,15,9,36,0.590163934,0.875,0.384615385,0.789473684,0.428571429,NA,0:21:00
1,30,WT/CyO,NA,13:07:00,13:27:00,21,42,41,56,160,N,16,31,31,37,115,0.71875,0.761904762,0.738095238,0.756097561,0.660714286,NA,0:20:00
1,31,Obp56g/Df,NA,15:54:00,16:24:00,13,1,0,0,14,N,2,0,0,0,2,0.142857143,0.153846154,0,NA,NA,NA,0:30:00
1,32,Obp56g/CyO,NA,14:37:00,15:05:00,29,43,62,53,187,N,29,43,58,42,172,0.919786096,1,1,0.935483871,0.79245283,NA,0:28:00
1,33,WT/CyO,NA,13:04:00,13:21:00,20,23,47,14,104,N,19,20,40,12,91,0.875,0.95,0.869565217,0.85106383,0.857142857,NA,0:17:00
1,34,Df/WT,NA,14:37:00,15:05:00,23,7,55,44,129,N,19,4,42,40,105,0.813953488,0.826086957,0.571428571,0.763636364,0.909090909,NA,0:28:00
1,35,Obp56g/CyO,NA,12:39:00,13:06:00,30,45,65,51,191,N,28,41,59,47,175,0.916230366,0.933333333,0.911111111,0.907692308,0.921568627,NA,0:27:00
1,36,Obp56g/CyO,NA,14:09:00,14:37:00,28,36,70,60,194,N,24,31,66,57,178,0.917525773,0.857142857,0.861111111,0.942857143,0.95,NA,0:28:00
1,37,Obp56g/CyO,NA,14:24:00,14:51:00,14,44,59,45,162,N,14,44,57,42,157,0.969135802,1,1,0.966101695,0.933333333,NA,0:27:00
1,38,Df/WT,NA,14:37:00,15:05:00,17,38,46,39,140,N,17,38,46,38,139,0.992857143,1,1,1,0.974358974,NA,0:28:00
1,39,Df/WT,NA,15:31:00,15:54:00,26,34,41,51,152,N,22,31,32,42,127,0.835526316,0.846153846,0.911764706,0.780487805,0.823529412,NA,0:23:00
1,40,Obp56g/CyO,NA,14:51:00,15:17:00,11,33,40,39,123,N,9,30,38,35,112,0.910569106,0.818181818,0.909090909,0.95,0.897435897,NA,0:26:00
1,41,WT/CyO,NA,17:09:00,17:33:00,26,23,49,41,139,N,22,17,42,40,121,0.870503597,0.846153846,0.739130435,0.857142857,0.975609756,NA,0:24:00
1,42,Obp56g/CyO,NA,16:16:00,16:51:00,24,43,49,59,175,N,11,39,42,56,148,0.845714286,0.458333333,0.906976744,0.857142857,0.949152542,NA,0:35:00
1,44,WT/CyO,NA,12:40:00,13:07:00,11,9,3,12,35,N,7,5,1,7,20,0.571428571,0.636363636,0.555555556,0.333333333,0.583333333,NA,0:27:00
1,45,Obp56g/Df,NA,13:56:00,14:24:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0:28:00
1,46,Obp56g/CyO,NA,13:41:00,14:09:00,8,7,3,3,21,N,6,2,2,3,13,0.619047619,0.75,0.285714286,0.666666667,1,NA,0:28:00
1,47,Obp56g/Df,NA,13:01:00,13:23:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0:22:00
1,48,WT/CyO,NA,17:24:00,17:42:00,17,39,26,47,129,N,14,36,25,43,118,0.914728682,0.823529412,0.923076923,0.961538462,0.914893617,NA,0:18:00
1,49,WT/CyO,NA,14:37:00,15:05:00,27,39,57,53,176,N,26,36,51,48,161,0.914772727,0.962962963,0.923076923,0.894736842,0.905660377,NA,0:28:00
1,50,Obp56g/Df,NA,13:35:00,14:09:00,24,0,0,0,24,Y,3,0,0,0,3,0.125,0.125,NA,NA,NA,NA,0:34:00
1,52,Df/WT,NA,14:09:00,14:32:00,26,44,34,34,138,N,24,41,31,29,125,0.905797101,0.923076923,0.931818182,0.911764706,0.852941176,NA,0:23:00
1,53,Obp56g/Df,NA,13:56:00,14:09:00,0,0,0,0,0,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0:13:00
1,54,Df/WT,NA,17:30:00,17:54:00,19,45,64,49,177,N,16,40,54,46,156,0.881355932,0.842105263,0.888888889,0.84375,0.93877551,NA,0:24:00
1,55,WT/CyO,NA,13:27:00,13:56:00,18,14,1,15,47,N,18,11,1,14,44,0.936170213,1,0.785714286,1,0.933333333,NA,0:29:00
1,56,Obp56g/Df,NA,12:55:00,13:19:00,0,0,0,0,0,N,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0:24:00
