vial,male_geno,remated,rep
2,creb56g,Y,1
5,creb56g,Y,1
6,creb56g,N,1
11,creb56g,N,1
14,crebw1118,Y,1
17,creb56g,Y,1
18,creb56g,N,1
20,crebw1118,N,1
21,crebw1118,N,1
23,creb56g,Y,1
24,creb56g,N,1
28,creb56g,Y,1
38,crebw1118,N,1
40,crebw1118,N,1
41,crebw1118,N,1
46,crebw1118,N,1
47,creb56g,Y,1
52,creb56g,Y,1
53,crebw1118,N,1
56,creb56g,Y,1
58,creb56g,Y,1
61,crebw1118,N,1
62,creb56g,N,1
64,crebw1118,N,1
67,creb56g,Y,1
71,creb56g,N,1
74,creb56g,Y,1
77,creb56g,N,1
79,crebw1118,N,1
80,creb56g,Y,1
86,creb56g,Y,1
89,crebw1118,N,1
90,crebw1118,N,1
92,creb56g,Y,1
98,creb56g,Y,1
103,creb56g,N,1
105,crebw1118,N,1
107,crebw1118,N,1
109,creb56g,N,1
110,creb56g,N,1
113,crebw1118,N,1
114,creb56g,Y,1
116,crebw1118,N,1
118,crebw1118,N,1
119,creb56g,Y,1
120,crebw1118,N,1
122,crebw1118,N,1
125,creb56g,Y,1
126,crebw1118,N,1
129,crebw1118,N,1
130,crebw1118,N,1
131,creb56g,N,1
132,creb56g,Y,1
133,creb56g,Y,1
135,crebw1118,N,1
137,crebw1118,N,1
139,crebw1118,N,1
141,crebw1118,N,2
142,creb56g,Y,2
143,crebw1118,Y,2
144,creb56g,Y,2
145,creb56g,N,2
146,crebw1118,Y,2
147,crebw1118,Y,2
148,creb56g,N,2
149,creb56g,Y,2
150,creb56g,N,2
151,crebw1118,N,2
152,crebw1118,N,2
153,creb56g,Y,2
154,crebw1118,N,2
155,creb56g,Y,2
156,creb56g,N,2
157,crebw1118,N,2
158,creb56g,Y,2
159,crebw1118,N,2
160,crebw1118,Y,2
161,creb56g,Y,2
162,crebw1118,Y,2
163,crebw1118,Y,2
164,creb56g,Y,2
165,crebw1118,N,2
166,creb56g,N,2
167,creb56g,Y,2
168,creb56g,Y,2
169,creb56g,Y,2
170,creb56g,Y,2
171,crebw1118,N,2
172,creb56g,N,2
173,crebw1118,N,2
174,crebw1118,N,2
175,crebw1118,N,2
176,creb56g,Y,2
177,creb56g,Y,2
178,crebw1118,N,2
179,crebw1118,N,2
180,crebw1118,N,2
181,creb56g,N,2
182,creb56g,Y,2
183,creb56g,Y,2
184,creb56g,Y,2
185,crebw1118,N,2
186,creb56g,N,2
187,crebw1118,N,2
188,crebw1118,N,2
189,creb56g,Y,2
190,crebw1118,N,2
191,crebw1118,N,2
192,crebw1118,N,2
193,creb56g,Y,2
194,creb56g,N,2
195,crebw1118,N,2
