vial,male_geno,rep,d_1,d_2,d_3,d_4,e_tot
1,crebw1118,2,59,47,53,67,226
3,crebw1118,2,54,52,80,62,248
4,crebw1118,2,44,29,38,27,138
5,creb56g,2,0,0,0,0,0
6,crebw1118,2,70,64,92,75,301
7,crebw1118,2,33,0,0,0,33
8,creb56g,2,0,0,0,0,0
9,creb56g,2,0,0,0,0,0
10,crebw1118,2,67,81,93,69,310
12,creb56g,2,47,59,98,78,282
13,creb56g,2,0,0,0,0,0
14,crebw1118,2,57,40,35,14,146
17,crebw1118,2,77,82,102,86,347
18,creb56g,2,53,60,64,45,222
20,creb56g,2,29,0,0,0,29
21,creb56g,2,0,0,0,0,0
22,creb56g,2,0,0,0,0,0
23,crebw1118,2,43,75,103,78,299
25,creb56g,2,2,0,0,0,2
27,crebw1118,2,39,65,83,58,245
28,crebw1118,2,61,54,70,57,242
30,creb56g,2,0,0,0,19,19
32,crebw1118,2,54,68,73,34,229
33,crebw1118,2,79,82,94,70,325
34,creb56g,2,0,0,0,0,0
35,creb56g,2,47,51,89,69,256
36,creb56g,2,0,2,18,33,53
37,crebw1118,2,81,82,97,33,293
38,crebw1118,2,70,95,101,75,341
39,creb56g,2,0,0,0,0,0
40,creb56g,2,0,0,0,0,0
41,crebw1118,2,70,95,101,77,343
42,crebw1118,2,83,86,102,77,348
43,creb56g,2,61,89,98,81,329
44,crebw1118,2,56,51,59,56,222
45,creb56g,2,0,3,0,0,3
46,creb56g,2,57,85,20,2,164
47,creb56g,2,0,0,0,4,4
48,creb56g,2,3,0,0,0,3
49,crebw1118,2,59,49,61,47,216
50,crebw1118,2,71,81,91,70,313
51,crebw1118,2,58,63,51,40,212
52,crebw1118,2,33,44,36,48,161
53,crebw1118,2,78,78,85,66,307
54,crebw1118,2,51,82,89,70,292
55,crebw1118,2,88,103,112,89,392
56,creb56g,2,0,0,0,14,14
57,creb56g,2,64,87,95,79,325
58,crebw1118,2,69,80,81,66,296
59,creb56g,2,49,58,64,63,234
60,creb56g,2,0,0,0,0,0
61,crebw1118,2,71,82,88,71,312
62,crebw1118,2,65,94,92,81,332
63,creb56g,2,0,0,0,0,0
65,creb56g,2,0,0,0,0,0
66,creb56g,2,0,0,0,0,0
67,creb56g,2,0,0,0,0,0
68,creb56g,2,0,0,0,0,0
69,creb56g,2,0,0,0,0,0
70,creb56g,2,72,68,79,75,294
71,crebw1118,1,34,87,99,74,294
72,creb56g,1,47,48,0,18,113
73,crebw1118,1,33,89,82,35,239
74,creb56g,1,61,88,42,0,191
75,creb56g,1,38,78,92,77,285
76,crebw1118,1,30,58,84,32,204
77,crebw1118,1,59,102,124,91,376
78,creb56g,1,34,65,74,62,235
79,creb56g,1,8,0,0,0,8
80,creb56g,1,42,54,35,9,140
81,crebw1118,1,40,34,39,33,146
82,crebw1118,1,52,87,93,45,277
83,creb56g,1,0,0,0,23,23
84,crebw1118,1,44,93,110,81,328
85,creb56g,1,46,84,94,74,298
86,creb56g,1,45,109,120,90,364
87,crebw1118,1,41,44,60,49,194
88,creb56g,1,0,0,0,0,0
89,crebw1118,1,50,94,107,68,319
90,crebw1118,1,42,82,102,79,305
91,creb56g,1,0,0,0,16,16
92,crebw1118,1,40,63,67,48,218
93,crebw1118,1,39,107,118,58,322
94,creb56g,1,0,0,0,0,0
95,crebw1118,1,51,100,110,71,332
96,creb56g,1,0,0,0,1,1
97,creb56g,1,43,83,99,78,303
98,creb56g,1,1,0,0,6,7
99,creb56g,1,0,0,0,0,0
100,creb56g,1,63,60,50,20,193
101,crebw1118,1,35,90,105,81,311
102,creb56g,1,48,79,47,21,195
103,crebw1118,1,45,84,90,71,290
104,crebw1118,1,58,88,69,55,270
105,crebw1118,1,55,90,93,60,298
106,creb56g,1,0,0,7,14,21
107,creb56g,1,1,0,14,25,40
108,crebw1118,1,49,98,108,67,322
109,crebw1118,1,51,90,96,75,312
110,crebw1118,1,65,93,111,88,357
111,creb56g,1,0,0,0,3,3
112,creb56g,1,0,0,10,9,19
113,creb56g,1,0,0,0,0,0
114,creb56g,1,0,0,11,0,11
115,crebw1118,1,37,84,94,75,290
116,creb56g,1,0,0,18,41,59
117,crebw1118,1,53,87,100,80,320
118,crebw1118,1,44,81,87,81,293
119,creb56g,1,0,0,19,17,36
120,crebw1118,1,63,92,110,70,335
121,crebw1118,1,24,42,57,43,166
122,crebw1118,1,36,85,83,68,272
123,creb56g,1,0,0,0,0,0
124,creb56g,1,51,86,100,80,317
125,crebw1118,1,41,53,63,44,201
