male_geno,vial,intro,start,done,d_1,d_2,d_3,d_4,egg_tot,recep
wt,1,12:32,12:54,1:07,34,87,99,74,294,N
kd,2,12:15,1:09,1:28,47,48,0,18,113,Y
wt,3,12:32,1:07,1:23,33,89,82,35,239,Y
kd,4,12:15,12:27,12:43,61,88,42,0,191,Y
kd,5,12:14,12:48,1:06,38,78,92,77,285,N
wt,6,12:34,12:54,1:08,30,58,84,32,204,Y
wt,7,12:34,1:14,1:32,59,102,124,91,376,Y
kd,8,12:14,12:19,12:38,34,65,74,62,235,N
kd,9,12:14,1:01,1:15,8,0,0,0,8,Y
kd,11,12:14,12:19,12:38,42,54,35,9,140,N
wt,12,12:34,12:54,1:08,40,34,39,33,146,N
wt,13,12:34,2:20,2:38,52,87,93,45,277,N
kd,14,12:14,12:38,12:46,0,0,0,23,23,Y
wt,16,12:36,1:19,1:41,44,93,110,81,328,N
kd,17,12:14,12:55,1:15,46,84,94,74,298,Y
kd,18,12:13,12:43,1:06,45,109,120,90,364,N
wt,19,12:36,2:12,2:29,41,44,60,49,194,N
kd,21,12:13,12:27,12:39,0,0,0,0,0,Y
wt,22,12:36,3:55,4:09,50,94,107,68,319,N
wt,24,12:44,12:52,1:08,42,82,102,79,305,Y
kd,25,12:20,12:27,12:38,0,0,0,16,16,Y
wt,26,12:37,1:50,2:07,40,63,67,48,218,Y
wt,28,12:26,1:29,1:50,39,107,118,58,322,Y
kd,29,12:21,1:31,1:49,0,0,0,0,0,Y
wt,31,12:15,12:55,1:09,51,100,110,71,332,N
kd,32,12:21,1:40,1:49,0,0,0,1,1,N
kd,33,12:21,12:49,1:07,43,83,99,78,303,Y
kd,35,12:21,12:46,1:01,1,0,0,6,7,Y
kd,36,12:21,12:49,1:02,0,0,0,0,0,Y
kd,37,12:22,12:40,12:52,63,60,50,20,193,Y
wt,38,12:17,2:24,2:44,35,90,105,81,311,N
kd,39,12:22,1:19,1:40,48,79,47,21,195,N
wt,40,12:17,2:03,2:15,45,84,90,71,290,N
wt,42,12:17,12:47,1:02,58,88,69,55,270,N
wt,43,12:18,1:24,1:49,55,90,93,60,298,N
kd,44,12:22,12:31,12:41,0,0,7,14,21,Y
kd,45,12:29,1:40,1:58,1,0,14,25,40,Y
wt,46,12:18,1:02,1:16,49,98,108,67,322,N
wt,47,12:18,1:54,2:15,51,90,96,75,312,N
wt,48,12:18,12:51,1:15,65,93,111,88,357,N
kd,49,12:28,12:34,12:49,0,0,0,3,3,N
kd,50,12:28,12:45,12:58,0,0,10,9,19,Y
kd,51,12:28,1:14,1:28,0,0,0,0,0,Y
kd,52,12:29,12:59,1:14,0,0,11,0,11,Y
wt,53,12:18,1:18,1:41,37,84,94,75,290,N
kd,54,12:30,1:58,2:15,0,0,18,41,59,N
wt,55,12:19,1:08,1:24,53,87,100,80,320,N
wt,56,12:14,1:50,2:07,44,81,87,81,293,N
kd,57,12:29,1:07,1:23,0,0,19,17,36,Y
wt,58,12:15,1:15,1:35,63,92,110,70,335,N
wt,59,12:15,1:41,1:54,24,42,57,43,166,N
wt,60,12:15,1:03,1:19,36,85,83,68,272,N
kd,61,12:30,12:54,1:09,0,0,0,0,0,Y
kd,62,12:30,1:19,1:40,51,86,100,80,317,N
wt,63,12:15,3:45,4:06,41,53,63,44,201,N
