vial,replicate,gene,male_geno,intro,start,done,lat,dur,d_1,d_2,d_3,d_4,e_tot,mated,p_1,p_2,p_3,p_4,pup_t,h_1,h_2,h_3,h_4,hatch_tot
1,2,56i,CyO,10:50:00,11:50:00,12:12:00,1:00:00,0:22:00,73,84,69,70,296,Y,69,82,69,67,287,0.945205479,0.976190476,1,0.957142857,0.969594595
2,2,51a,CyO,10:32:00,11:26:00,11:37:00,0:54:00,0:11:00,77,74,52,44,247,N,57,71,48,41,217,0.74025974,0.959459459,0.923076923,0.931818182,0.87854251
4,2,56i,KO,10:36:00,11:13:00,11:33:00,0:37:00,0:20:00,80,90,82,86,338,N,78,89,78,80,325,0.975,0.988888889,0.951219512,0.930232558,0.961538462
5,2,56i,CyO,10:50:00,11:50:00,12:12:00,1:00:00,0:22:00,99,94,94,93,380,N,95,94,91,87,367,0.95959596,1,0.968085106,0.935483871,0.965789474
6,2,56e,CyO,10:54:00,11:28:00,11:46:00,0:34:00,0:18:00,89,87,72,70,318,N,89,85,65,67,306,1,0.977011494,0.902777778,0.957142857,0.962264151
7,2,51a,CyO,10:32:00,10:55:00,11:15:00,0:23:00,0:20:00,63,59,54,39,215,N,19,44,44,26,133,0.301587302,0.745762712,0.814814815,0.666666667,0.618604651
8,2,56e,KO,10:25:00,12:04:00,12:29:00,1:39:00,0:25:00,68,74,77,72,291,N,67,74,77,68,286,0.985294118,1,1,0.944444444,0.982817869
9,2,51a,KO,10:47:00,11:26:00,11:41:00,0:39:00,0:15:00,60,83,89,81,313,N,54,81,83,77,295,0.9,0.975903614,0.93258427,0.950617284,0.942492013
10,2,56i,KO,10:36:00,14:47:00,15:08:00,4:11:00,0:21:00,52,62,76,73,263,N,37,62,76,70,245,0.711538462,1,1,0.95890411,0.931558935
12,2,56e,CyO,10:34:00,14:29:00,14:51:00,3:55:00,0:22:00,72,85,55,65,277,N,66,78,53,54,251,0.916666667,0.917647059,0.963636364,0.830769231,0.906137184
13,2,51a,KO,10:25:00,11:19:00,11:38:00,0:54:00,0:19:00,62,70,70,53,255,N,38,66,62,45,211,0.612903226,0.942857143,0.885714286,0.849056604,0.82745098
14,2,56i,KO,10:36:00,12:04:00,12:29:00,1:28:00,0:25:00,80,75,62,48,265,N,67,72,59,46,244,0.8375,0.96,0.951612903,0.958333333,0.920754717
15,2,56e,KO,10:34:00,10:55:00,11:24:00,0:21:00,0:29:00,99,98,92,89,378,N,92,97,85,88,362,0.929292929,0.989795918,0.923913043,0.988764045,0.957671958
16,2,56e,CyO,10:34:00,13:27:00,13:48:00,2:53:00,0:21:00,85,100,80,75,340,N,78,98,74,71,321,0.917647059,0.98,0.925,0.946666667,0.944117647
17,2,56i,KO,10:36:00,14:14:00,14:35:00,3:38:00,0:21:00,99,95,69,1,264,Y,87,94,51,0,232,0.878787879,0.989473684,0.739130435,0,0.878787879
18,2,51a,KO,10:25:00,11:26:00,11:41:00,1:01:00,0:15:00,79,67,55,31,232,N,60,65,46,28,199,0.759493671,0.970149254,0.836363636,0.903225806,0.857758621
19,2,56i,CyO,10:50:00,12:36:00,12:59:00,1:46:00,0:23:00,76,74,51,45,246,N,66,73,50,45,234,0.868421053,0.986486486,0.980392157,1,0.951219512
20,2,51a,CyO,10:32:00,11:10:00,11:26:00,0:38:00,0:16:00,80,57,46,42,225,N,67,55,45,42,209,0.8375,0.964912281,0.97826087,1,0.928888889
