YOgnID	FBgnID	Dmel
YOgnVI07442	FBgn0200106	FBgn0031808
YOgnVI03775	FBgn0209134	FBgn0001308
YOgnVI03048	FBgn0208460	FBgn0004181
-	FBgn0200615	FBgn0035371
YOgnVI05349	FBgn0207071	FBgn0034314
YOgnVI08932	FBgn0205995	FBgn0027528
YOgnVI00788	FBgn0205181	FBgn0000384
YOgnVI13726	FBgn0199083	FBgn0015283
YOgnVI05877	FBgn0203734	FBgn0263968
YOgnVI08602	FBgn0206535	FBgn0029662
YOgnVI10386	FBgn0211441	FBgn0051151
YOgnVI06525	FBgn0202949	FBgn0085209
YOgnVI14562	FBgn0203494	FBgn0015905
YOgnVI11694	FBgn0209647	FBgn0038861
YOgnVI06311	FBgn0201445	FBgn0032956
YOgnVI14157	FBgn0198621	FBgn0260776
YOgnVI06088	FBgn0202062	FBgn0029858
YOgnVI00245	FBgn0202150	FBgn0033141
YOgnVI12957	FBgn0201302	FBgn0037130
YOgnVI04153	FBgn0209571	FBgn0035003
YOgnVI00455	FBgn0205317	FBgn0028533
-	FBgn0207294	FBgn0033508
YOgnVI07813	FBgn0211157	FBgn0032602
YOgnVI05488	FBgn0203948	FBgn0029733
YOgnVI02787	FBgn0197435	FBgn0032470
YOgnVI14376	FBgn0201339	FBgn0039908
YOgnVI10963	FBgn0210436	FBgn0037856
YOgnVI13178	FBgn0199720	FBgn0001316
-	FBgn0210274	FBgn0005596
YOgnVI07910	FBgn0210134	FBgn0032613
YOgnVI00059	FBgn0203241	FBgn0035266
YOgnVI03949	FBgn0209345	FBgn0034797
YOgnVI13940	FBgn0198859	FBgn0036460
YOgnVI09489	FBgn0202934	FBgn0010380
YOgnVI05934	FBgn0203665	FBgn0023550
YOgnVI12696	FBgn0201017	FBgn0050438
-	FBgn0207379	FBgn0035020
YOgnVI03027	FBgn0208438	FBgn0033350
YOgnVI06848	FBgn0204528	FBgn0250847
-	FBgn0200928	FBgn0053772
YOgnVI10138	FBgn0211174	FBgn0019960
YOgnVI01745	FBgn0205986	FBgn0250850
YOgnVI01780	FBgn0205055	FBgn0284245
YOgnVI10978	FBgn0210420	FBgn0002631
YOgnVI15037	FBgn0206608	FBgn0025391
YOgnVI06175	FBgn0201931	FBgn0024983
YOgnVI14626	FBgn0203323	FBgn0032923
