YOgnID	FBgnID	Dmel
-	FBgn0136109	FBgn0035754
YOgnMO12656	FBgn0135803	FBgn0035199
YOgnMO03405	FBgn0143290	FBgn0039705
YOgnMO07516	FBgn0136536	FBgn0000579
YOgnMO12306	FBgn0139284	FBgn0285951
-	FBgn0133280	FBgn0037610
YOgnMO03333	FBgn0143203	FBgn0010415
-	FBgn0141159	FBgn0050338
YOgnMO09378	FBgn0147440	FBgn0000166
YOgnMO10377	FBgn0146394	FBgn0000158
YOgnMO00799	FBgn0139210	FBgn0030259
YOgnMO12260	FBgn0139335	FBgn0035517
YOgnMO03278	FBgn0143141	FBgn0033463
YOgnMO13397	FBgn0136645	FBgn0035498
YOgnMO03504	FBgn0143405	FBgn0037291
YOgnMO01657	FBgn0138309	FBgn0030074
-	FBgn0281664	FBgn0083992
YOgnMO06482	FBgn0140344	FBgn0032750
YOgnMO10845	FBgn0145890	FBgn0038180
YOgnMO02373	FBgn0137590	FBgn0000108
-	FBgn0133674	FBgn0259700
YOgnMO09626	FBgn0132927	FBgn0053207
YOgnMO08238	FBgn0144564	FBgn0041250
YOgnMO10230	FBgn0133605	FBgn0278604
YOgnMO05203	FBgn0141458	FBgn0033996
YOgnMO06366	FBgn0140227	FBgn0037504
YOgnMO07547	FBgn0136211	FBgn0031779
YOgnMO07113	FBgn0140962	FBgn0003346
YOgnMO12368	FBgn0135466	FBgn0035187
YOgnMO05775	FBgn0136762	FBgn0265726
YOgnMO04580	FBgn0142079	FBgn0033541
YOgnMO13908	FBgn0134909	FBgn0015360
YOgnMO04197	FBgn0144067	FBgn0000119
YOgnMO06849	FBgn0140696	FBgn0032858
YOgnMO07212	FBgn0138852	FBgn0031590
YOgnMO12294	FBgn0139296	FBgn0036639
YOgnMO08144	FBgn0145181	FBgn0031985
YOgnMO01901	FBgn0138616	FBgn0030028
YOgnMO06360	FBgn0140218	FBgn0058006
YOgnMO06588	FBgn0140442	FBgn0032966
YOgnMO00866	FBgn0138992	FBgn0030858
YOgnMO07668	FBgn0134988	FBgn0032943
YOgnMO09695	FBgn0132997	FBgn0000447
YOgnMO01256	FBgn0144313	FBgn0052767
YOgnMO10314	FBgn0146459	FBgn0051103
YOgnMO02675	FBgn0137072	FBgn0031157
YOgnMO09614	FBgn0132915	FBgn0263490
YOgnMO01496	FBgn0138115	FBgn0030340
YOgnMO13616	FBgn0135245	FBgn0052354
YOgnMO14621	FBgn0134126	FBgn0036377
YOgnMO08826	FBgn0146852	FBgn0037517
YOgnMO11289	FBgn0145367	FBgn0037376
YOgnMO03162	FBgn0142996	FBgn0034978
YOgnMO04032	FBgn0143926	FBgn0040754
YOgnMO03870	FBgn0143770	FBgn0033638
YOgnMO00385	FBgn0133840	FBgn0029761
YOgnMO09009	FBgn0147043	FBgn0039758
YOgnMO13864	FBgn0134968	FBgn0259239
YOgnMO03606	FBgn0143519	FBgn0034253
YOgnMO14015	FBgn0134793	FBgn0035209
YOgnMO12365	FBgn0135462	FBgn0035110
YOgnMO01270	FBgn0144297	FBgn0003559
YOgnMO01529	FBgn0138155	FBgn0029714
-	FBgn0137549	FBgn0030816
YOgnMO13190	FBgn0136413	FBgn0036918
YOgnMO02811	FBgn0142585	FBgn0034538
YOgnMO09334	FBgn0147386	FBgn0000283
YOgnMO05997	FBgn0139878	FBgn0032315
YOgnMO11809	FBgn0144789	FBgn0039098
YOgnMO11460	FBgn0145174	FBgn0000083
YOgnMO13407	FBgn0136653	FBgn0052487
YOgnMO00487	FBgn0133970	FBgn0030731
YOgnMO07737	FBgn0134399	FBgn0261802
YOgnMO04791	FBgn0141849	FBgn0030507
YOgnMO03175	FBgn0143013	FBgn0033929
YOgnMO14066	FBgn0134724	FBgn0036266
YOgnMO05084	FBgn0141563	FBgn0029084
YOgnMO06732	FBgn0140591	FBgn0032891
YOgnMO04297	FBgn0142398	FBgn0050021
YOgnMO08052	FBgn0146232	FBgn0032295
YOgnMO07997	FBgn0146654	FBgn0263846
YOgnMO14350	FBgn0134419	FBgn0003250
YOgnMO03664	FBgn0143572	FBgn0050476
YOgnMO01453	FBgn0138068	FBgn0029828
-	FBgn0134464	FBgn0033031
YOgnMO03522	FBgn0143423	FBgn0034945
YOgnMO05483	FBgn0141202	FBgn0033897
YOgnMO05270	FBgn0141397	FBgn0034308
YOgnMO06079	FBgn0139962	FBgn0032515
YOgnMO00494	FBgn0133978	FBgn0029970
-	FBgn0146671	FBgn0053191
YOgnMO10550	FBgn0146233	FBgn0004087
YOgnMO02058	FBgn0137996	FBgn0031070
YOgnMO06840	FBgn0140686	FBgn0262475
-	FBgn0138170	FBgn0262699
YOgnMO10907	FBgn0145819	FBgn0038595
YOgnMO04992	FBgn0141659	FBgn0034423
YOgnMO14233	FBgn0134538	FBgn0040075
-	FBgn0145771	FBgn0031434
YOgnMO12228	FBgn0139373	FBgn0035865
YOgnMO10411	FBgn0146357	FBgn0263977
YOgnMO14003	FBgn0134807	FBgn0036106
-	FBgn0139175	FBgn0031066
YOgnMO04973	FBgn0141673	FBgn0033350
-	FBgn0137550	FBgn0030817
-	FBgn0137166	FBgn0030006
YOgnMO12292	FBgn0139298	FBgn0028693
YOgnMO04277	FBgn0142420	FBgn0267791
YOgnMO08080	FBgn0145947	FBgn0051675
YOgnMO09550	FBgn0132843	FBgn0053341
-	FBgn0143937	FBgn0034176
YOgnMO03376	FBgn0280423	FBgn0262816
YOgnMO02052	FBgn0138003	FBgn0259149
YOgnMO00612	FBgn0133678	FBgn0035134
YOgnMO04430	FBgn0142246	FBgn0041205
YOgnMO12139	FBgn0139610	FBgn0004569
YOgnMO10927	FBgn0145798	FBgn0039116
YOgnMO03639	FBgn0143547	FBgn0003162
YOgnMO07167	FBgn0141006	FBgn0026238
