YOgnID	FBgnID	Dmel
YOgnPS10963	FBgn0243887	FBgn0030187
YOgnPS00353	FBgn0248402	FBgn0038053
YOgnPS06570	FBgn0080547	FBgn0033584
YOgnPS13206	FBgn0247156	FBgn0283657
YOgnPS02638	FBgn0247937	FBgn0005777
YOgnPS02334	FBgn0265601	FBgn0001297
-	FBgn0076265	FBgn0051431
YOgnPS13027	FBgn0077884	FBgn0029821
YOgnPS10219	FBgn0081399	FBgn0030710
YOgnPS13772	FBgn0079886	FBgn0260442
-	FBgn0077214	FBgn0038571
YOgnPS02899	FBgn0082002	FBgn0004049
YOgnPS02983	FBgn0263150	FBgn0058470
YOgnPS12213	FBgn0072624	FBgn0026268
YOgnPS00452	FBgn0079481	FBgn0025879
YOgnPS06983	FBgn0080199	FBgn0031740
YOgnPS15473	FBgn0272210	FBgn0085292
YOgnPS00422	FBgn0072315	FBgn0041229
YOgnPS11607	FBgn0073155	FBgn0031189
YOgnPS11771	FBgn0073161	FBgn0040357
YOgnPS05690	FBgn0080955	FBgn0033673
YOgnPS12400	FBgn0072892	FBgn0031065
YOgnPS00323	FBgn0078824	FBgn0037773
YOgnPS13732	FBgn0080723	FBgn0002899
YOgnPS03589	FBgn0076211	FBgn0051344
YOgnPS02739	FBgn0081910	FBgn0037561
YOgnPS14395	FBgn0076669	FBgn0010762
YOgnPS00357	FBgn0081778	FBgn0037734
YOgnPS12774	FBgn0073774	FBgn0030259
YOgnPS14934	FBgn0244939	FBgn0036337
-	FBgn0075790	FBgn0050342
YOgnPS15050	FBgn0071518	FBgn0035170
YOgnPS07247	FBgn0080306	FBgn0031708
YOgnPS05251	FBgn0245952	FBgn0034494
YOgnPS00538	FBgn0072952	FBgn0038510
-	FBgn0079658	FBgn0032509
YOgnPS15466	FBgn0272455	FBgn0262679
YOgnPS14222	FBgn0071400	FBgn0035283
YOgnPS15830	FBgn0076907	FBgn0052425
YOgnPS00831	FBgn0248590	FBgn0038189
YOgnPS01122	FBgn0263149	FBgn0267429
-	FBgn0244324	FBgn0085351
YOgnPS02212	FBgn0077788	FBgn0037780
YOgnPS07843	FBgn0070500	FBgn0032726
-	FBgn0082071	FBgn0031422
YOgnPS11976	FBgn0081605	FBgn0030659
-	FBgn0247102	FBgn0000114
YOgnPS00955	FBgn0248628	FBgn0039887
YOgnPS08009	FBgn0079602	FBgn0032643
YOgnPS05691	FBgn0079102	FBgn0001222
YOgnPS15060	FBgn0244889	FBgn0036422
YOgnPS00913	FBgn0079415	FBgn0039158
YOgnPS07489	FBgn0075721	FBgn0010602
YOgnPS13138	FBgn0071455	FBgn0030057
YOgnPS02751	FBgn0078836	FBgn0038951
YOgnPS07464	FBgn0078692	FBgn0031904
YOgnPS05762	FBgn0075715	FBgn0061198
YOgnPS01178	FBgn0080043	FBgn0266674
YOgnPS11084	FBgn0249015	FBgn0035909
YOgnPS08139	FBgn0079849	FBgn0264087
YOgnPS05057	FBgn0070441	FBgn0034577
YOgnPS05480	FBgn0245867	FBgn0011260
YOgnPS13308	FBgn0076973	FBgn0029762
YOgnPS02642	FBgn0071565	FBgn0039557
YOgnPS15593	FBgn0070401	FBgn0035649
-	FBgn0076812	FBgn0052263
-	FBgn0071550	FBgn0031048
YOgnPS06982	FBgn0070775	FBgn0031741
YOgnPS09197	FBgn0078026	FBgn0028370
-	FBgn0071391	FBgn0035445
-	FBgn0247255	FBgn0051710
YOgnPS12450	FBgn0071341	FBgn0261811
YOgnPS12297	FBgn0250492	FBgn0004648
YOgnPS05921	FBgn0245711	FBgn0020306
-	FBgn0076809	FBgn0052260
