YOgnID	FBgnID	Dmel
YOgnPE05257	FBgn0157996	FBgn0030349
YOgnPE01656	FBgn0156852	FBgn0035725
YOgnPE02630	FBgn0156138	FBgn0085192
YOgnPE16180	FBgn0151081	FBgn0039714
YOgnPE11372	FBgn0164628	FBgn0053639
YOgnPE07137	FBgn0148126	FBgn0001222
-	FBgn0157806	FBgn0017561
YOgnPE02433	FBgn0156337	FBgn0032018
YOgnPE02024	FBgn0157211	FBgn0032022
YOgnPE15022	FBgn0149672	FBgn0037845
YOgnPE01198	FBgn0160853	FBgn0015513
YOgnPE08212	FBgn0155527	FBgn0035577
YOgnPE07123	FBgn0148144	FBgn0028983
YOgnPE16740	FBgn0152127	FBgn0032656
YOgnPE12209	FBgn0154567	FBgn0085398
YOgnPE17520	FBgn0162405	FBgn0035287
YOgnPE03812	FBgn0164140	FBgn0035799
YOgnPE11455	FBgn0154891	FBgn0005613
YOgnPE05755	FBgn0164929	FBgn0004107
YOgnPE09391	FBgn0159602	FBgn0039411
YOgnPE15792	FBgn0151524	FBgn0038065
YOgnPE09361	FBgn0159568	FBgn0039205
-	FBgn0150594	FBgn0052536
YOgnPE02866	FBgn0164236	FBgn0032938
YOgnPE00625	FBgn0162049	FBgn0039246
-	FBgn0150439	FBgn0003710
YOgnPE14721	FBgn0150246	FBgn0038695
YOgnPE03687	FBgn0162944	FBgn0264542
YOgnPE00774	FBgn0161295	FBgn0038683
-	FBgn0154819	FBgn0085224
-	FBgn0151058	FBgn0010113
YOgnPE01549	FBgn0156758	FBgn0032223
YOgnPE10924	FBgn0157554	FBgn0003396
YOgnPE10546	FBgn0153718	FBgn0035111
YOgnPE01930	FBgn0157129	FBgn0032260
YOgnPE01439	FBgn0160600	FBgn0037376
YOgnPE08336	FBgn0155519	FBgn0027085
YOgnPE08008	FBgn0160151	FBgn0052364
YOgnPE04509	FBgn0152169	FBgn0030871
YOgnPE05127	FBgn0157865	FBgn0030362
YOgnPE11940	FBgn0155389	FBgn0033051
YOgnPE04612	FBgn0154146	FBgn0000719
YOgnPE03474	FBgn0151857	FBgn0259108
YOgnPE02575	FBgn0156189	FBgn0032345
YOgnPE15634	FBgn0151374	FBgn0032321
YOgnPE06278	FBgn0149032	FBgn0034215
YOgnPE13593	FBgn0163801	FBgn0004914
YOgnPE16107	FBgn0151168	FBgn0038803
YOgnPE07301	FBgn0160403	FBgn0036180
-	FBgn0159213	FBgn0037284
YOgnPE02459	FBgn0156311	FBgn0267378
YOgnPE05870	FBgn0164719	FBgn0038820
-	FBgn0152042	FBgn0066114
-	FBgn0161112	FBgn0037611
-	FBgn0150864	FBgn0035449
YOgnPE14697	FBgn0150219	FBgn0038551
YOgnPE07540	FBgn0160250	FBgn0259703
YOgnPE06839	FBgn0148430	FBgn0050203
YOgnPE06486	FBgn0149232	FBgn0050047
-	FBgn0155442	FBgn0263607
YOgnPE16590	FBgn0153689	FBgn0032393
YOgnPE00853	FBgn0161209	FBgn0003495
YOgnPE08087	FBgn0160139	FBgn0283479
YOgnPE10298	FBgn0155857	FBgn0030262
YOgnPE06205	FBgn0148956	FBgn0262560
YOgnPE15218	FBgn0153899	FBgn0044051
YOgnPE05973	FBgn0148717	FBgn0035044
YOgnPE12905	FBgn0163042	FBgn0026263
YOgnPE08072	FBgn0160215	FBgn0028504
YOgnPE00637	FBgn0162060	FBgn0259831
YOgnPE14091	FBgn0147889	FBgn0035928
YOgnPE02297	FBgn0156473	FBgn0000061
YOgnPE09435	FBgn0159638	FBgn0051481
YOgnPE14625	FBgn0150140	FBgn0266599
YOgnPE16614	FBgn0153925	FBgn0028525
-	FBgn0154943	FBgn0011555
-	FBgn0150995	FBgn0029608
-	FBgn0154795	FBgn0283521
-	FBgn0151100	FBgn0051040
YOgnPE01058	FBgn0160992	FBgn0039147
-	FBgn0158834	FBgn0028533
YOgnPE11483	FBgn0154921	FBgn0033783
YOgnPE02841	FBgn0164208	FBgn0032287
-	FBgn0148820	FBgn0013726
YOgnPE08932	FBgn0149436	FBgn0036066
YOgnPE02524	FBgn0156246	FBgn0027515
YOgnPE10980	FBgn0153184	FBgn0052176
YOgnPE02204	FBgn0156569	FBgn0032200
YOgnPE00686	FBgn0162117	FBgn0015019
YOgnPE14813	FBgn0149908	FBgn0037213
YOgnPE13057	FBgn0153338	FBgn0036909
YOgnPE06894	FBgn0148378	FBgn0053147
YOgnPE00425	FBgn0161834	FBgn0039616
YOgnPE00530	FBgn0161948	FBgn0044871
-	FBgn0161791	FBgn0267385
YOgnPE10756	FBgn0162290	FBgn0035888
YOgnPE17134	FBgn0162777	FBgn0036286
YOgnPE09280	FBgn0158295	FBgn0036667
YOgnPE03116	FBgn0163893	FBgn0032492
YOgnPE03286	FBgn0151918	FBgn0014026
-	FBgn0157672	FBgn0022097
-	FBgn0149221	FBgn0260401
YOgnPE14643	FBgn0150157	FBgn0083950
-	FBgn0160030	FBgn0035980
YOgnPE04436	FBgn0152254	FBgn0030098
-	FBgn0148883	FBgn0034647
YOgnPE03428	FBgn0152071	FBgn0029801
YOgnPE10327	FBgn0155825	FBgn0030466
-	FBgn0163879	FBgn0041111
YOgnPE06741	FBgn0148532	FBgn0025334
YOgnPE12555	FBgn0150370	FBgn0001323
-	FBgn0161240	FBgn0085383
YOgnPE09326	FBgn0159534	FBgn0039273
-	FBgn0151555	FBgn0039829
YOgnPE06242	FBgn0148998	FBgn0034785
YOgnPE07098	FBgn0148172	FBgn0033473
YOgnPE07321	FBgn0160424	FBgn0036154
YOgnPE09004	FBgn0152842	FBgn0029990
YOgnPE07386	FBgn0160487	FBgn0260945
YOgnPE03530	FBgn0151795	FBgn0029702
YOgnPE06060	FBgn0148804	FBgn0265182
-	FBgn0161390	FBgn0038912
YOgnPE13941	FBgn0163183	FBgn0031872
-	FBgn0161811	FBgn0038975
-	FBgn0164577	FBgn0259927
YOgnPE06137	FBgn0148879	FBgn0050285
YOgnPE01201	FBgn0160850	FBgn0039111
YOgnPE00600	FBgn0162022	FBgn0039449
YOgnPE06927	FBgn0148342	FBgn0010611
-	FBgn0161993	FBgn0039254
-	FBgn0162711	FBgn0036959
YOgnPE01558	FBgn0156764	FBgn0032208
YOgnPE15987	FBgn0151288	FBgn0038983
YOgnPE08934	FBgn0149404	FBgn0262008
YOgnPE00928	FBgn0161136	FBgn0037534
YOgnPE02904	FBgn0164276	FBgn0032493
YOgnPE10261	FBgn0155950	FBgn0026088
YOgnPE13641	FBgn0163849	FBgn0031804
YOgnPE11397	FBgn0164555	FBgn0030921
YOgnPE12818	FBgn0157646	FBgn0266580
YOgnPE17511	FBgn0162415	FBgn0035468
YOgnPE06810	FBgn0148456	FBgn0034400
YOgnPE02704	FBgn0156073	FBgn0031361
YOgnPE06197	FBgn0148947	FBgn0034138
-	FBgn0164006	FBgn0028852
YOgnPE05843	FBgn0164755	FBgn0029512
YOgnPE08614	FBgn0164363	FBgn0030605
YOgnPE07142	FBgn0148121	FBgn0034097
YOgnPE02324	FBgn0156448	FBgn0031229
YOgnPE17225	FBgn0162869	FBgn0037109
YOgnPE17072	FBgn0162713	FBgn0265959
-	FBgn0164938	FBgn0039043
YOgnPE06643	FBgn0148632	FBgn0259226
YOgnPE00241	FBgn0161617	FBgn0039881
YOgnPE10429	FBgn0147852	FBgn0033667
YOgnPE16052	FBgn0151228	FBgn0000140
YOgnPE17570	FBgn0153055	FBgn0283531
YOgnPE00271	FBgn0161651	FBgn0037416
YOgnPE04035	FBgn0150614	FBgn0040068
YOgnPE14962	FBgn0149735	FBgn0053189
YOgnPE00972	FBgn0161089	FBgn0266268
YOgnPE00273	FBgn0161653	FBgn0037419
YOgnPE12919	FBgn0163011	FBgn0015075
YOgnPE06770	FBgn0148500	FBgn0285950
YOgnPE10866	FBgn0158237	FBgn0033582
YOgnPE17434	FBgn0162495	FBgn0036741
YOgnPE01516	FBgn0156723	FBgn0032311
YOgnPE10123	FBgn0159119	FBgn0261986
-	FBgn0149464	FBgn0261538
YOgnPE15557	FBgn0158932	FBgn0030735
-	FBgn0152073	FBgn0085380
YOgnPE10028	FBgn0159217	FBgn0265082
YOgnPE07052	FBgn0148219	FBgn0033241
YOgnPE03050	FBgn0163971	FBgn0027868
YOgnPE14538	FBgn0150040	FBgn0028400
YOgnPE00661	FBgn0162089	FBgn0263231
-	FBgn0155377	FBgn0063491
YOgnPE01943	FBgn0157142	FBgn0262647
YOgnPE14910	FBgn0149800	FBgn0250845
YOgnPE00138	FBgn0161506	FBgn0015737
-	FBgn0149888	FBgn0037730
YOgnPE06080	FBgn0148821	FBgn0033277
-	FBgn0154425	FBgn0034503
YOgnPE05758	FBgn0164933	FBgn0038826
YOgnPE07146	FBgn0148116	FBgn0043010
YOgnPE03710	FBgn0163067	FBgn0085481
YOgnPE01488	FBgn0156698	FBgn0086265
YOgnPE10111	FBgn0159132	FBgn0039380
-	FBgn0156365	FBgn0259176
YOgnPE02268	FBgn0156499	FBgn0029137
YOgnPE11718	FBgn0155167	FBgn0034860
YOgnPE10392	FBgn0147814	FBgn0033915
YOgnPE15492	FBgn0152634	FBgn0035951
YOgnPE02103	FBgn0156652	FBgn0051643
YOgnPE13991	FBgn0163129	FBgn0032084
YOgnPE01228	FBgn0160825	FBgn0037742
YOgnPE06315	FBgn0149060	FBgn0033949
YOgnPE07323	FBgn0160426	FBgn0036152
YOgnPE16886	FBgn0154623	FBgn0052255
YOgnPE10633	FBgn0153703	FBgn0052343
-	FBgn0152194	FBgn0000427
YOgnPE08348	FBgn0155507	FBgn0035552
YOgnPE00841	FBgn0161224	FBgn0003268
YOgnPE08415	FBgn0155436	FBgn0036574
-	FBgn0158904	FBgn0035762
YOgnPE03197	FBgn0153216	FBgn0039938
YOgnPE13477	FBgn0163682	FBgn0031822
YOgnPE00704	FBgn0162132	FBgn0038465
YOgnPE13176	FBgn0158482	FBgn0005564
YOgnPE17477	FBgn0162450	FBgn0000560
-	FBgn0149762	FBgn0042102
-	FBgn0153283	FBgn0036910
YOgnPE00507	FBgn0161923	FBgn0038943
YOgnPE13922	FBgn0163203	FBgn0032821
