YOgnID	FBgnID	Dmel
YOgnAN00369	FBgn0100268	FBgn0039482
YOgnAN14175	FBgn0094091	FBgn0038458
YOgnAN06208	FBgn0089886	FBgn0050045
YOgnAN07544	FBgn0089241	FBgn0034554
YOgnAN02691	FBgn0091190	FBgn0031664
YOgnAN01186	FBgn0092344	FBgn0031941
YOgnAN12967	FBgn0095246	FBgn0027865
YOgnAN14210	FBgn0094054	FBgn0043455
YOgnAN01129	FBgn0092295	FBgn0032006
YOgnAN08280	FBgn0088503	FBgn0261673
YOgnAN06713	FBgn0090373	FBgn0035065
YOgnAN09075	FBgn0096460	FBgn0023510
YOgnAN03444	FBgn0100523	FBgn0051660
YOgnAN05077	FBgn0097854	FBgn0029888
YOgnAN14925	FBgn0093374	FBgn0037377
YOgnAN08779	FBgn0095988	FBgn0033021
YOgnAN13253	FBgn0095525	FBgn0039407
YOgnAN13076	FBgn0095354	FBgn0037562
YOgnAN12817	FBgn0274878	FBgn0038942
YOgnAN09420	FBgn0102118	FBgn0044050
YOgnAN14847	FBgn0093443	FBgn0045866
YOgnAN01717	FBgn0092814	FBgn0004915
YOgnAN04497	FBgn0092925	FBgn0030683
YOgnAN07572	FBgn0089215	FBgn0027835
-	FBgn0097687	FBgn0051752
YOgnAN02886	FBgn0099073	FBgn0052594
YOgnAN09505	FBgn0102200	FBgn0036406
YOgnAN03783	FBgn0098290	FBgn0264744
-	FBgn0275323	FBgn0261842
YOgnAN03428	FBgn0100408	FBgn0031538
YOgnAN15162	FBgn0093177	FBgn0010379
-	FBgn0097254	FBgn0030336
-	FBgn0094805	FBgn0038784
YOgnAN07012	FBgn0090661	FBgn0020521
-	FBgn0090808	FBgn0033564
YOgnAN04450	FBgn0097705	FBgn0283535
YOgnAN07496	FBgn0089288	FBgn0033141
YOgnAN02516	FBgn0091354	FBgn0023091
YOgnAN12958	FBgn0095240	FBgn0002631
-	FBgn0089455	FBgn0033610
YOgnAN08397	FBgn0088412	FBgn0034975
YOgnAN13911	FBgn0094336	FBgn0037482
YOgnAN10003	FBgn0097126	FBgn0036396
YOgnAN02206	FBgn0091624	FBgn0003557
YOgnAN01476	FBgn0092577	FBgn0085427
YOgnAN10661	FBgn0088039	FBgn0037191
YOgnAN04941	FBgn0098009	FBgn0027279
-	FBgn0100394	FBgn0020309
YOgnAN14156	FBgn0094109	FBgn0085692
YOgnAN04895	FBgn0098058	FBgn0030617
YOgnAN05834	FBgn0089554	FBgn0033744
YOgnAN13706	FBgn0095946	FBgn0264785
YOgnAN00284	FBgn0100176	FBgn0039224
YOgnAN02912	FBgn0099101	FBgn0016038
YOgnAN05324	FBgn0099514	FBgn0030904
YOgnAN05891	FBgn0089609	FBgn0033317
YOgnAN03702	FBgn0098633	FBgn0028943
YOgnAN15265	FBgn0093088	FBgn0037305
YOgnAN09087	FBgn0096450	FBgn0266421
-	FBgn0090296	FBgn0050290
YOgnAN05394	FBgn0099595	FBgn0030519
YOgnAN14188	FBgn0094077	FBgn0027109
YOgnAN00752	FBgn0091977	FBgn0031850
YOgnAN07571	FBgn0089216	FBgn0034345
YOgnAN05700	FBgn0089198	FBgn0053180
YOgnAN05688	FBgn0088842	FBgn0038306
YOgnAN07152	FBgn0090789	FBgn0262114
-	FBgn0088321	FBgn0034758
YOgnAN02366	FBgn0091482	FBgn0028703
YOgnAN11969	FBgn0100613	FBgn0036782
YOgnAN14132	FBgn0094136	FBgn0038079
YOgnAN00108	FBgn0096606	FBgn0004647
YOgnAN04446	FBgn0097710	FBgn0039212
-	FBgn0092830	FBgn0032268
YOgnAN02656	FBgn0091221	FBgn0041195
YOgnAN03177	FBgn0098951	FBgn0001150
YOgnAN14234	FBgn0094031	FBgn0027493
YOgnAN05348	FBgn0099545	FBgn0267967
-	FBgn0095058	FBgn0051198
YOgnAN05871	FBgn0089592	FBgn0033635
YOgnAN09453	FBgn0102158	FBgn0037125
YOgnAN06169	FBgn0089850	FBgn0034629
YOgnAN00699	FBgn0099867	FBgn0039682
YOgnAN14351	FBgn0093910	FBgn0263929
YOgnAN03849	FBgn0097793	FBgn0031887
YOgnAN08917	FBgn0098737	FBgn0264738
YOgnAN11282	FBgn0101289	FBgn0037050
YOgnAN02870	FBgn0091024	FBgn0032586
-	FBgn0096624	FBgn0028746
YOgnAN01800	FBgn0092893	FBgn0051663
YOgnAN08288	FBgn0088497	FBgn0033652
YOgnAN00513	FBgn0100064	FBgn0038585
YOgnAN01267	FBgn0092405	FBgn0028852
YOgnAN07292	FBgn0089481	FBgn0033574
YOgnAN13487	FBgn0095742	FBgn0039634
YOgnAN14823	FBgn0093462	FBgn0051051
YOgnAN10213	FBgn0087635	FBgn0052061
YOgnAN07543	FBgn0089243	FBgn0050295
YOgnAN03187	FBgn0098942	FBgn0029629
YOgnAN01348	FBgn0092479	FBgn0032848
YOgnAN09328	FBgn0102023	FBgn0011204
YOgnAN01681	FBgn0092775	FBgn0250843
YOgnAN10225	FBgn0087648	FBgn0010762
-	FBgn0088755	FBgn0002716
YOgnAN00657	FBgn0099914	FBgn0039797
-	FBgn0100003	FBgn0038666
YOgnAN05794	FBgn0094423	FBgn0030699
YOgnAN10273	FBgn0087695	FBgn0035802
YOgnAN00412	FBgn0100305	FBgn0011739
YOgnAN11215	FBgn0101357	FBgn0035936
YOgnAN13426	FBgn0095670	FBgn0004878
YOgnAN03226	FBgn0098903	FBgn0029688
YOgnAN11020	FBgn0101563	FBgn0036134
YOgnAN09385	FBgn0102079	FBgn0085295
-	FBgn0095461	FBgn0263048
YOgnAN08876	FBgn0098866	FBgn0031139
YOgnAN04967	FBgn0097982	FBgn0030008
YOgnAN14362	FBgn0093903	FBgn0038504
YOgnAN03206	FBgn0098921	FBgn0030671
YOgnAN02626	FBgn0091253	FBgn0032346
YOgnAN06378	FBgn0090058	FBgn0017482
YOgnAN08802	FBgn0275276	FBgn0259699
YOgnAN10860	FBgn0101704	FBgn0261797
YOgnAN13553	FBgn0095802	FBgn0038209
YOgnAN04297	FBgn0096063	FBgn0030974
YOgnAN02462	FBgn0091403	FBgn0031682
-	FBgn0098087	FBgn0029765
YOgnAN09971	FBgn0087414	FBgn0036534
YOgnAN07290	FBgn0089482	FBgn0033571
YOgnAN09141	FBgn0096393	FBgn0085352
YOgnAN12226	FBgn0094552	FBgn0037796
YOgnAN03457	FBgn0100651	FBgn0031660
YOgnAN12085	FBgn0100480	FBgn0036365
-	FBgn0095909	FBgn0051133
YOgnAN04420	FBgn0097736	FBgn0039421
YOgnAN01936	FBgn0091865	FBgn0032689
-	FBgn0098019	FBgn0052813
YOgnAN06243	FBgn0089920	FBgn0002791
YOgnAN04343	FBgn0274312	FBgn0044510
YOgnAN00583	FBgn0099991	FBgn0051301
YOgnAN13181	FBgn0095462	FBgn0038957
YOgnAN14489	FBgn0093768	FBgn0263995
YOgnAN15428	FBgn0097488	FBgn0031030
YOgnAN04966	FBgn0097983	FBgn0030009
YOgnAN01662	FBgn0092756	FBgn0032170
YOgnAN09683	FBgn0087143	FBgn0036695
YOgnAN02706	FBgn0091177	FBgn0051876
YOgnAN03221	FBgn0098909	FBgn0030648
YOgnAN14658	FBgn0093609	FBgn0285911
YOgnAN07471	FBgn0089310	FBgn0034094
YOgnAN09718	FBgn0087172	FBgn0035955
-	FBgn0090082	FBgn0029175
YOgnAN01623	FBgn0092707	FBgn0031528
YOgnAN05239	FBgn0093381	FBgn0250830
YOgnAN07665	FBgn0089119	FBgn0033696
-	FBgn0095674	FBgn0051548
YOgnAN12653	FBgn0094926	FBgn0259740
