YOgnID	FBgnID	Dmel
YOgnWI06410	FBgn0220146	FBgn0040985
YOgnWI09978	FBgn0213981	FBgn0037638
YOgnWI13803	FBgn0215387	FBgn0039712
YOgnWI04967	FBgn0217524	FBgn0032276
YOgnWI05663	FBgn0222167	FBgn0260857
YOgnWI06439	FBgn0220122	FBgn0032857
YOgnWI08973	FBgn0219880	FBgn0033649
YOgnWI07655	FBgn0218177	FBgn0029531
YOgnWI05721	FBgn0222586	FBgn0036282
YOgnWI11612	FBgn0227343	FBgn0030105
YOgnWI09910	FBgn0213906	FBgn0053208
YOgnWI06657	FBgn0226630	FBgn0283525
YOgnWI07791	FBgn0280001	FBgn0035232
YOgnWI11863	FBgn0227079	FBgn0004574
YOgnWI10470	FBgn0213337	FBgn0039531
YOgnWI01522	FBgn0219617	FBgn0035546
YOgnWI09302	FBgn0225867	FBgn0263603
-	FBgn0223056	FBgn0267449
YOgnWI01092	FBgn0219173	FBgn0036179
YOgnWI13925	FBgn0215249	FBgn0265082
YOgnWI13706	FBgn0215489	FBgn0038694
YOgnWI11763	FBgn0227189	FBgn0266354
YOgnWI13645	FBgn0215550	FBgn0039454
YOgnWI12322	FBgn0224774	FBgn0261984
-	FBgn0212660	FBgn0260223
YOgnWI05842	FBgn0221456	FBgn0036876
YOgnWI02228	FBgn0221666	FBgn0033208
YOgnWI02215	FBgn0221651	FBgn0027495
YOgnWI15012	FBgn0224877	FBgn0033970
YOgnWI11754	FBgn0227197	FBgn0029915
YOgnWI03284	FBgn0217807	FBgn0027073
YOgnWI14078	FBgn0215090	FBgn0003257
YOgnWI09871	FBgn0213863	FBgn0052856
YOgnWI06616	FBgn0226587	FBgn0284247
YOgnWI07561	FBgn0218271	FBgn0031089
YOgnWI03645	FBgn0217674	FBgn0033763
YOgnWI00454	FBgn0212669	FBgn0085487
YOgnWI09244	FBgn0226208	FBgn0035807
YOgnWI09004	FBgn0219853	FBgn0033867
YOgnWI08843	FBgn0219959	FBgn0034035
YOgnWI02921	FBgn0223581	FBgn0034538
YOgnWI08645	FBgn0222427	FBgn0261872
YOgnWI10959	FBgn0212835	FBgn0260642
YOgnWI00475	FBgn0212652	FBgn0023081
-	FBgn0221402	FBgn0050385
YOgnWI08143	FBgn0214836	FBgn0036272
YOgnWI12041	FBgn0226903	FBgn0030954
-	FBgn0217022	FBgn0028532
YOgnWI07986	FBgn0213406	FBgn0053229
YOgnWI07582	FBgn0218251	FBgn0038471
YOgnWI10367	FBgn0213453	FBgn0037234
YOgnWI01125	FBgn0219209	FBgn0035146
YOgnWI07843	FBgn0214635	FBgn0036288
YOgnWI13719	FBgn0215479	FBgn0085343
YOgnWI04753	FBgn0217338	FBgn0267976
YOgnWI02159	FBgn0221611	FBgn0050080
YOgnWI05016	FBgn0217560	FBgn0051663
YOgnWI10639	FBgn0213149	FBgn0266418
YOgnWI02006	FBgn0218638	FBgn0035266
-	FBgn0215209	FBgn0260760
YOgnWI12737	FBgn0215734	FBgn0038074
YOgnWI10591	FBgn0213201	FBgn0005596
YOgnWI05320	FBgn0216833	FBgn0032399
-	FBgn0214229	FBgn0038100
-	FBgn0279111	FBgn0004101
YOgnWI02608	FBgn0223814	FBgn0034528
YOgnWI12136	FBgn0224608	FBgn0037797
YOgnWI09044	FBgn0279760	FBgn0033356
YOgnWI13214	FBgn0216210	FBgn0261789
YOgnWI05803	FBgn0279998	FBgn0259916
YOgnWI06411	FBgn0220145	FBgn0031460
YOgnWI00951	FBgn0222671	FBgn0005695
YOgnWI14700	FBgn0225167	FBgn0034022
YOgnWI07289	FBgn0279043	FBgn0032956
YOgnWI01666	FBgn0218985	FBgn0261243
-	FBgn0221287	FBgn0035982
YOgnWI06051	FBgn0224235	FBgn0033667
YOgnWI10732	FBgn0213060	FBgn0014930
YOgnWI14246	FBgn0214913	FBgn0039261
YOgnWI12273	FBgn0224741	FBgn0028475
YOgnWI13356	FBgn0216329	FBgn0039328
YOgnWI14076	FBgn0215091	FBgn0039140
YOgnWI11677	FBgn0227276	FBgn0029737
YOgnWI02954	FBgn0223551	FBgn0033249
YOgnWI12687	FBgn0215676	FBgn0011824
YOgnWI06828	FBgn0226774	FBgn0031377
YOgnWI14748	FBgn0225208	FBgn0033376
YOgnWI12186	FBgn0224657	FBgn0016672
-	FBgn0226530	FBgn0031444
YOgnWI04630	FBgn0217225	FBgn0032818
YOgnWI09780	FBgn0213758	FBgn0003567
YOgnWI06073	FBgn0224117	FBgn0034087
-	FBgn0218214	FBgn0264598
YOgnWI01203	FBgn0219298	FBgn0260936
YOgnWI13268	FBgn0216258	FBgn0038950
YOgnWI00846	FBgn0222778	FBgn0027538
YOgnWI03812	FBgn0222046	FBgn0085387
YOgnWI13829	FBgn0215357	FBgn0038147
YOgnWI02164	FBgn0221616	FBgn0033963
YOgnWI13895	FBgn0215286	FBgn0026314
YOgnWI07849	FBgn0214639	FBgn0035323
YOgnWI07129	FBgn0226247	FBgn0040079
YOgnWI09190	FBgn0214301	FBgn0036996
YOgnWI03532	FBgn0217752	FBgn0004360
-	FBgn0214981	FBgn0039241
YOgnWI05051	FBgn0217577	FBgn0032481
YOgnWI13865	FBgn0215322	FBgn0039424
YOgnWI08850	FBgn0219966	FBgn0034420
YOgnWI05691	FBgn0222293	FBgn0261574
YOgnWI09969	FBgn0213972	FBgn0037743
YOgnWI08677	FBgn0222397	FBgn0036484
YOgnWI10040	FBgn0214041	FBgn0024909
-	FBgn0222805	FBgn0013272
YOgnWI05174	FBgn0216967	FBgn0031492
-	FBgn0220961	FBgn0038458
YOgnWI15444	FBgn0217118	FBgn0044030
YOgnWI03413	FBgn0217913	FBgn0050020
YOgnWI07577	FBgn0218257	FBgn0053180
YOgnWI04757	FBgn0217341	FBgn0039970
YOgnWI05252	FBgn0216896	FBgn0000018
YOgnWI06615	FBgn0226586	FBgn0026438
YOgnWI03946	FBgn0221909	FBgn0028550
YOgnWI07688	FBgn0218146	FBgn0026144
YOgnWI09357	FBgn0223075	FBgn0032362
YOgnWI15039	FBgn0224848	FBgn0263848
YOgnWI13747	FBgn0220951	FBgn0039079
YOgnWI05777	FBgn0223138	FBgn0283500
-	FBgn0215872	FBgn0026597
YOgnWI07410	FBgn0218405	FBgn0030932
YOgnWI01692	FBgn0218961	FBgn0036985
YOgnWI12508	FBgn0224418	FBgn0038651
YOgnWI12819	FBgn0215818	FBgn0038704
YOgnWI03905	FBgn0222133	FBgn0029831
YOgnWI14178	FBgn0214986	FBgn0039254
YOgnWI01993	FBgn0218652	FBgn0053556
YOgnWI15390	FBgn0217715	FBgn0262738
-	FBgn0225863	FBgn0031579
YOgnWI12621	FBgn0224317	FBgn0039184
YOgnWI11276	FBgn0227738	FBgn0029807
YOgnWI00319	FBgn0212715	FBgn0033183
-	FBgn0224337	FBgn0038732
YOgnWI04184	FBgn0225844	FBgn0028572
YOgnWI15313	FBgn0220520	FBgn0283451
YOgnWI04098	FBgn0221742	FBgn0030590
YOgnWI02198	FBgn0221636	FBgn0000008
YOgnWI09957	FBgn0213958	FBgn0037882
YOgnWI11163	FBgn0227612	FBgn0263997
YOgnWI10573	FBgn0213224	FBgn0038303
YOgnWI02446	FBgn0223670	FBgn0011227
YOgnWI04051	FBgn0221795	FBgn0031012
YOgnWI10059	FBgn0214069	FBgn0004369
YOgnWI11997	FBgn0226949	FBgn0030851
YOgnWI14208	FBgn0214958	FBgn0263490
YOgnWI11006	FBgn0227443	FBgn0259245
YOgnWI06295	FBgn0220270	FBgn0028916
YOgnWI11904	FBgn0227042	FBgn0003423
YOgnWI05120	FBgn0217023	FBgn0028509
YOgnWI02074	FBgn0218570	FBgn0004379
YOgnWI15334	FBgn0218244	FBgn0030082
-	FBgn0213646	FBgn0038491
YOgnWI00378	FBgn0212758	FBgn0034059
YOgnWI04939	FBgn0217491	FBgn0032414
YOgnWI11840	FBgn0227103	FBgn0022768
YOgnWI10301	FBgn0279302	FBgn0040531
YOgnWI12917	FBgn0215918	FBgn0037829
YOgnWI03741	FBgn0221962	FBgn0029854
YOgnWI09398	FBgn0223071	FBgn0029137
YOgnWI07002	FBgn0226372	FBgn0031286
YOgnWI05508	FBgn0216650	FBgn0031564
YOgnWI10862	FBgn0212925	FBgn0037734
YOgnWI08279	FBgn0213078	FBgn0035537
YOgnWI06699	FBgn0226670	FBgn0020415
YOgnWI02139	FBgn0221595	FBgn0034821
YOgnWI15465	FBgn0216768	FBgn0025864
YOgnWI00885	FBgn0222733	FBgn0035076
YOgnWI05490	FBgn0216665	FBgn0015924
YOgnWI03854	FBgn0222077	FBgn0265416
YOgnWI02168	FBgn0221620	FBgn0042085
YOgnWI08992	FBgn0219868	FBgn0034191
YOgnWI14138	FBgn0215022	FBgn0038914
YOgnWI02928	FBgn0279603	FBgn0033224
YOgnWI10996	FBgn0227430	FBgn0025635
-	FBgn0216854	FBgn0266019
YOgnWI13001	FBgn0216003	FBgn0040257
-	FBgn0216039	FBgn0004885
YOgnWI11028	FBgn0227471	FBgn0030407
-	FBgn0213031	FBgn0051516
YOgnWI08779	FBgn0219902	FBgn0034750
-	FBgn0222764	FBgn0033781
YOgnWI04146	FBgn0225814	FBgn0032016
YOgnWI13660	FBgn0215535	FBgn0037239
YOgnWI03052	FBgn0223460	FBgn0085408
YOgnWI13040	FBgn0216045	FBgn0034383
YOgnWI10164	FBgn0214163	FBgn0051320
YOgnWI05456	FBgn0216695	FBgn0031730
YOgnWI02223	FBgn0221659	FBgn0005586
YOgnWI06984	FBgn0226396	FBgn0032456
YOgnWI15142	FBgn0218729	FBgn0029667
YOgnWI06498	FBgn0220075	FBgn0250834
-	FBgn0220263	FBgn0015803
YOgnWI14350	FBgn0214824	FBgn0038976
YOgnWI07939	FBgn0214519	FBgn0035344
YOgnWI01840	FBgn0218807	FBgn0035776
YOgnWI03348	FBgn0217870	FBgn0004581
YOgnWI03469	FBgn0217965	FBgn0033846
-	FBgn0221925	FBgn0261245
YOgnWI10542	FBgn0213261	FBgn0037715
YOgnWI08282	FBgn0213056	FBgn0052240
YOgnWI06534	FBgn0226500	FBgn0031836
YOgnWI11025	FBgn0227468	FBgn0027291
YOgnWI07673	FBgn0218159	FBgn0004198
YOgnWI07385	FBgn0218379	FBgn0023518
YOgnWI03184	FBgn0223367	FBgn0036565
YOgnWI04414	FBgn0225688	FBgn0040299
YOgnWI14412	FBgn0214760	FBgn0037756
YOgnWI01776	FBgn0067457	FBgn0035627
YOgnWI03007	FBgn0223499	FBgn0033297
YOgnWI12402	FBgn0224526	FBgn0039125
YOgnWI09696	FBgn0213678	FBgn0260745
YOgnWI09174	FBgn0214317	FBgn0036126
-	FBgn0225209	FBgn0015838
YOgnWI08661	FBgn0222411	FBgn0036428
YOgnWI14472	FBgn0220453	FBgn0031518
YOgnWI14600	FBgn0212550	FBgn0036450
YOgnWI07190	FBgn0226200	FBgn0002023
-	FBgn0221244	FBgn0030614
YOgnWI10342	FBgn0213475	FBgn0019940
YOgnWI11105	FBgn0227548	FBgn0062413
YOgnWI11251	FBgn0227707	FBgn0023545
YOgnWI04390	FBgn0225711	FBgn0040705
YOgnWI03657	FBgn0217661	FBgn0050404
-	FBgn0215433	FBgn0001280
YOgnWI11284	FBgn0227747	FBgn0017561
YOgnWI04986	FBgn0217544	FBgn0032668
YOgnWI01377	FBgn0219474	FBgn0035921
YOgnWI10927	FBgn0212861	FBgn0037358
YOgnWI05478	FBgn0216679	FBgn0051954
-	FBgn0215618	FBgn0039890
YOgnWI11030	FBgn0227473	FBgn0030409
YOgnWI15194	FBgn0219278	FBgn0004647
YOgnWI01472	FBgn0219568	FBgn0036031
YOgnWI11928	FBgn0227015	FBgn0052579
-	FBgn0221095	FBgn0034081
YOgnWI13050	FBgn0216059	FBgn0004436
YOgnWI07546	FBgn0218291	FBgn0030027
YOgnWI06735	FBgn0226704	FBgn0028375
YOgnWI01344	FBgn0219438	FBgn0036349
YOgnWI06430	FBgn0220131	FBgn0028852
YOgnWI14084	FBgn0215084	FBgn0037979
YOgnWI11131	FBgn0227578	FBgn0030871
YOgnWI05447	FBgn0216705	FBgn0031741
YOgnWI10343	FBgn0213474	FBgn0038342
YOgnWI01547	FBgn0219645	FBgn0036595
YOgnWI04117	FBgn0221722	FBgn0003302
YOgnWI13624	FBgn0215570	FBgn0026207
YOgnWI02295	FBgn0221551	FBgn0034827
YOgnWI03203	FBgn0223349	FBgn0011241
YOgnWI00321	FBgn0212717	FBgn0259745
-	FBgn0226941	FBgn0030361
YOgnWI03727	FBgn0221947	FBgn0015336
YOgnWI14239	FBgn0214920	FBgn0040022
YOgnWI09224	FBgn0226046	FBgn0000451
YOgnWI03028	FBgn0223477	FBgn0050390
YOgnWI11077	FBgn0227520	FBgn0263216
YOgnWI08797	FBgn0219921	FBgn0033648
YOgnWI12948	FBgn0215946	FBgn0259831
YOgnWI15347	FBgn0218084	FBgn0013720
YOgnWI14970	FBgn0224925	FBgn0033375
YOgnWI07062	FBgn0279470	FBgn0085244
YOgnWI11809	FBgn0227135	FBgn0030551
YOgnWI04682	FBgn0217273	FBgn0032192
YOgnWI01892	FBgn0218759	FBgn0037164
-	FBgn0212359	FBgn0050178
YOgnWI01272	FBgn0219371	FBgn0053056
YOgnWI14945	FBgn0224958	FBgn0034346
YOgnWI05289	FBgn0216861	FBgn0023407
YOgnWI10612	FBgn0213178	FBgn0027518
YOgnWI12108	FBgn0224576	FBgn0051064
YOgnWI07331	FBgn0218333	FBgn0029608
YOgnWI04043	FBgn0221802	FBgn0031116
YOgnWI08558	FBgn0222501	FBgn0036000
YOgnWI07993	FBgn0213494	FBgn0013717
YOgnWI10867	FBgn0212919	FBgn0038205
YOgnWI09361	FBgn0223079	FBgn0032409
YOgnWI12791	FBgn0215794	FBgn0037445
YOgnWI05476	FBgn0221022	FBgn0031542
YOgnWI12654	FBgn0214454	FBgn0000229
YOgnWI08290	FBgn0212968	FBgn0019644
YOgnWI08360	FBgn0212485	FBgn0015828
YOgnWI14179	FBgn0214985	FBgn0039252
-	FBgn0217080	FBgn0267252
YOgnWI01630	FBgn0219020	FBgn0259481
YOgnWI06779	FBgn0226735	FBgn0032125
YOgnWI06734	FBgn0226703	FBgn0028894
YOgnWI10046	FBgn0214048	FBgn0039481
YOgnWI03646	FBgn0217673	FBgn0033762
YOgnWI06786	FBgn0226740	FBgn0011737
YOgnWI15324	FBgn0220557	FBgn0259242
YOgnWI08519	FBgn0222459	FBgn0036695
YOgnWI08036	FBgn0213910	FBgn0035873
YOgnWI14203	FBgn0214964	FBgn0010401
YOgnWI07502	FBgn0218502	FBgn0030398
YOgnWI05641	FBgn0221975	FBgn0035839
